"id";"learPN";"tescaPN";"desc";"qtyPerBox";"createdAt";"updatedAt"
44;"L002558812NCPAG";"350671465";"CF CC24_L3_RSC40 2R 7 SEATER";20;"2025-11-09 15:08:54";"2025-11-09 15:08:54"
45;"L002558803NCPAG";"350671484";"CF CC24_L3_RSC60 2R 7 SEATER";21;"2025-11-09 15:08:54";"2025-11-09 15:08:54"
46;"L002558814NCPAG";"350671489";"CF CC24_L4_RSC40 2R 7 SEATER";21;"2025-11-09 15:08:55";"2025-11-09 15:08:55"
47;"L002558804NCPAG";"350671502";"CF CC24_L4_RSC60 2R 7 SEATER";21;"2025-11-09 15:08:55";"2025-11-09 15:08:55"
48;"L002525720NCPAD";"350644377";"CF CC24_L3_FSC_RH_6W_X3";23;"2025-11-09 15:08:56";"2025-11-09 15:08:56"
49;"L002525749NCPAD";"350644490";"CF CC24_L4_FSC_LH_4W_X3";22;"2025-11-09 15:08:56";"2025-11-09 15:08:56"
50;"L002525535NCPAF";"350647229";"CF CC21_L3_FSB_RH X3";18;"2025-11-09 15:08:57";"2025-11-09 15:08:57"
51;"L002525716NCPAE";"350647144";"CF CC21_L3_FSC_RH_6W X3";23;"2025-11-09 15:08:57";"2025-11-09 15:08:57"
52;"L002525717NCPAE";"350647149";"CF CC21_L3_FSC_LH_4W X3";23;"2025-11-09 15:08:58";"2025-11-09 15:08:58"
53;"L002525722NCPAE";"350647187";"CF CC21_L4_FSC_LH_4W_X3";20;"2025-11-09 15:08:58";"2025-11-09 15:08:58"
54;"L002525730NCPAE";"350647182";"CF CC21_L4_FSC_RH_6W_X3";20;"2025-11-09 15:08:59";"2025-11-09 15:08:59"
55;"L002769253NCPAB";"350641944";"CF CC21_L4_RSB60_AUS_X3";19;"2025-11-09 15:08:59";"2025-11-09 15:08:59"
56;"L002525415NCPAD";"350644556";"CF CC24_L4_RSB_60%_2SR_X3";19;"2025-11-09 15:09:00";"2025-11-09 15:09:00"
57;"L002525416NCPAD";"350644353";"CF CC24_L2_RSB_40%_2SR_X3";21;"2025-11-09 15:09:00";"2025-11-09 15:09:00"
58;"L002525418NCPAD";"350644551";"CF CC24_L4_RSB_40%_2SR_X3";19;"2025-11-09 15:09:01";"2025-11-09 15:09:01"
59;"L002525703NCPAD";"350644513";"CF CC24_L4_FSB_LH_X3";9;"2025-11-09 15:09:01";"2025-11-09 15:09:01"
60;"L002525704NCPAD";"350644518";"CF CC24_L4_FSB_RH_X3";9;"2025-11-09 15:09:02";"2025-11-09 15:09:02"
61;"L002525742NCPAD";"350644297";"CF CC24_L2_FSC_RH_4W_X3";25;"2025-11-09 15:09:03";"2025-11-09 15:09:03"
62;"L002525743NCPAD";"350644292";"CF CC24_L2_FSC_LH_6W_X3";25;"2025-11-09 15:09:03";"2025-11-09 15:09:03"
63;"L002525751NCPAD";"350644495";"CF CC24_L4_FSC_RH_4W_X3";22;"2025-11-09 15:09:04";"2025-11-09 15:09:04"
64;"L002525754NCPAD";"350644471";"CF CC24_L4_FSC_LH_6W_X3";22;"2025-11-09 15:09:04";"2025-11-09 15:09:04"
65;"L002554306NCPAD";"350683581";"CF CC24_L3_RSB50 RH 3R 7 SEATER X3";20;"2025-11-09 15:09:05";"2025-11-09 15:09:05"
66;"L002554310NCPAC";"350683609";"CF CC24_L3_RSC 100 3R 7 SEATER X3";28;"2025-11-09 15:09:05";"2025-11-09 15:09:05"
67;"L002554314NCPAF";"350688031";"CF OV24 L3 L4 RSB 50 R 7S 3R";20;"2025-11-09 15:09:06";"2025-11-09 15:09:06"
68;"L002554316NCPAF";"350688012";"CF OV24 L3 L4 RSB 50 L 7S 3R";20;"2025-11-09 15:09:07";"2025-11-09 15:09:07"
69;"L002554318NCPAF";"350688036";"CF OV24 L3 L4 RSC 100 7S 3R";28;"2025-11-09 15:09:07";"2025-11-09 15:09:07"
70;"L002525429NCPAE";"350642595";"CF OV24 L2 RSB 60 X3";21;"2025-11-09 15:09:08";"2025-11-09 15:09:08"
71;"L002525430NCPAE";"350642618";"CF OV24 L3 L4 RSB 60 X3";19;"2025-11-09 15:09:08";"2025-11-09 15:09:08"
72;"L002525431NCPAD";"350641222";"CF OV24 L2 RSB 40 X1";21;"2025-11-09 15:09:09";"2025-11-09 15:09:09"
73;"L002525432NCPAD";"350641241";"CF OV24 L3 L4 RSB 40 X1";19;"2025-11-09 15:09:09";"2025-11-09 15:09:09"
74;"L002525757NCPAD";"350641142";"CF OV24 L2 FSB LH ";19;"2025-11-09 15:09:10";"2025-11-09 15:09:10"
75;"L002525758NCPAD";"350641147";"CF OV24 L2 FSB RH ";19;"2025-11-09 15:09:10";"2025-11-09 15:09:10"
76;"L002525759NCPAD";"350641161";"CF OV24 L3 L4 FSB LH ";17;"2025-11-09 15:09:11";"2025-11-09 15:09:11"
77;"L002525760NCPAD";"350641166";"CF OV24 L3 L4 FSB RH ";5;"2025-11-09 15:09:11";"2025-11-09 15:09:11"
78;"L002525762NCPAD";"350641086";"CF OV24_L2_FSC_RH_4W ";29;"2025-11-09 15:09:11";"2025-11-09 15:09:11"
79;"L002525763NCPAD";"350641062";"CF OV24_L2_FSC_LH_6W X1";29;"2025-11-09 15:09:12";"2025-11-09 15:09:12"
80;"L002841648NCPAG";"350642557";"CF OV24 L2 RSC 100 2R BEV";30;"2025-11-09 15:09:12";"2025-11-09 15:09:12"
81;"L002525765NCPAE";"350689545";"CF OV24_L3/L4_FSC_LH_6W";22;"2025-11-09 15:09:13";"2025-11-09 15:09:13"
82;"L002525767NCPAE";"350689564";"CF OV24_L3/L4_FSC_RH_6W";22;"2025-11-09 15:09:14";"2025-11-09 15:09:14"
83;"L002525768NCPAE";"350689569";"CF OV24_L3/L4_FSC_LH_4W ";22;"2025-11-09 15:09:14";"2025-11-09 15:09:14"
84;"L002525764NCPAE";"350689583";"CF OV24_L3/L4_FSC_RH_4W ";22;"2025-11-09 15:09:15";"2025-11-09 15:09:15"
85;"L002525721NCPAD";"350644391";"CF CC24_L3_FSC_LH_4W_X3";23;"2025-11-09 15:09:15";"2025-11-09 15:09:15"
86;"L002525756NCPAD";"350644476";"CF CC24_L4_FSC_RH_6W_X3";22;"2025-11-09 15:09:16";"2025-11-09 15:09:16"
87;"L002525761NCPAD";"350641081";"CF OV24_L2_FSC_LH_4W ";29;"2025-11-09 15:09:16";"2025-11-09 15:09:16"
88;"L002525766NCPAD";"350641067";"CF OV24_L2_FSC_RH_6W ";29;"2025-11-09 15:09:17";"2025-11-09 15:09:17"
89;"L002525424NCPAG";"350713714";"CF CC24_L2_RSC 100% ICE";30;"2025-11-09 15:09:18";"2025-11-09 15:09:18"
90;"L002841692NCPAG";"350713672";"CF CC24_L2_RSC 100% BEV";30;"2025-11-09 15:09:18";"2025-11-09 15:09:18"
91;"L002525425NCPAG";"350714001";"CF CC24_L3_RSC 100% ICE";28;"2025-11-09 15:09:19";"2025-11-09 15:09:19"
92;"L002841693NCPAG";"350714068";"CF CC24_L3_RSC 100% BEV";28;"2025-11-09 15:09:19";"2025-11-09 15:09:19"
93;"L002525426NCPAG";"350714129";"CF CC24_L4_RSC 100% ICE";27;"2025-11-09 15:09:20";"2025-11-09 15:09:20"
94;"L002841694NCPAG";"350714063";"CF CC24_L4_RSC 100% BEV";27;"2025-11-09 15:09:20";"2025-11-09 15:09:20"
95;"P7358033270";"350738262";"CF CC21 L3 RSB60";20;"2025-11-14 10:54:41";"2025-11-14 10:54:41"
96;"7358033270";"350738262";"CF CC21 L3 RSB60";20;"2025-11-14 10:56:03";"2025-11-14 10:56:03"
97;"LPN-1001";"TPN-2001";"Headrest Cover";50;"2025-11-23 13:18:22";"2025-11-23 13:18:22"
98;"LPN-1002";"TPN-2002";"Armrest Cover";40;"2025-11-23 13:18:22";"2025-11-23 13:18:22"
99;"LPN-1003";"TPN-2003";"Seat Back";20;"2025-11-23 13:18:22";"2025-11-23 13:18:22"
100;"LPN-1004";"TPN-2004";"Seat Cushion";20;"2025-11-23 13:18:22";"2025-11-23 13:18:22"
101;"LPN-1005";"TPN-2005";"Side Panel";30;"2025-11-23 13:18:22";"2025-11-23 13:18:22"
102;"L002525407NCPAE";"350600500";"CF CC21_L3_RSB60";0;"2025-12-05 09:05:28";"2025-12-06 12:07:19"
103;"L002525407NCPAK";" 350897412";"CF CC21_L4_RSC100_X3";0;"2025-12-05 09:06:52";"2025-12-06 12:07:19"
104;"L002525407NCPAQ";"350100200";"CF CC21_L3_RSB60 X3";0;"2025-12-05 09:42:21";"2025-12-06 12:07:19"
